sample-id,score,group
ERR1072630,0.7916,OTHER
ERR1072633,0.7986,OTHER
ERR1072638,0.7697,OTHER
ERR1072639,0.7466,OTHER
ERR1072646,0.6705,NORMAL
ERR1072647,0.7697,OTHER
ERR1072648,0.7496,OTHER
ERR1072659,0.7876,OTHER
ERR1072663,0.7533,OTHER
ERR1072667,0.6846,NORMAL
ERR1072673,0.7659,OTHER
ERR1072675,0.8661,OTHER
ERR1072677,0.6784,NORMAL
ERR1072712,0.928,DEVIANT
ERR1072713,0.9463,DEVIANT
ERR1072714,0.6971,NORMAL
ERR1072719,0.6441,NORMAL
ERR1072720,0.7383,OTHER
ERR1072721,0.8361,OTHER
ERR1072727,0.7893,OTHER
ERR1072740,0.7694,OTHER
ERR1072744,0.7233,NORMAL
ERR1072747,0.8506,OTHER
ERR1072748,0.8831,OTHER
ERR1072756,0.7083,NORMAL
ERR1072763,0.7409,OTHER
ERR1072764,0.6878,NORMAL
ERR1072766,0.6823,NORMAL
ERR1072770,0.7245,NORMAL
ERR1072774,0.6405,NORMAL
ERR1072791,0.8824,OTHER
ERR1072793,0.7246,NORMAL
ERR1072795,0.8178,OTHER
ERR1072797,0.7761,OTHER
ERR1072798,0.7321,OTHER
ERR1072809,0.7235,NORMAL
ERR1072811,0.6535,NORMAL
ERR1072841,0.7371,OTHER
ERR1072844,0.7794,OTHER
ERR1072848,0.8549,OTHER
ERR1072854,0.7181,NORMAL
ERR1072859,0.6419,NORMAL
ERR1072867,0.9386,DEVIANT
ERR1072868,0.7961,OTHER
ERR1072875,0.8693,OTHER
ERR1072887,0.6321,NORMAL
ERR1072889,0.7716,OTHER
ERR1072898,0.7277,OTHER
ERR1072899,0.7744,OTHER
ERR1072904,0.6677,NORMAL
ERR1072910,0.6347,NORMAL
ERR1072912,0.869,OTHER
ERR1072914,0.7596,OTHER
ERR1072929,0.6972,NORMAL
ERR1072941,0.809,OTHER
ERR1072942,0.7495,OTHER
ERR1072945,0.8296,OTHER
ERR1072948,0.7148,NORMAL
ERR1072954,0.8604,OTHER
ERR1072957,0.7499,OTHER
ERR1072968,0.6431,NORMAL
ERR1072971,0.7316,OTHER
ERR1072972,0.749,OTHER
ERR1072974,0.8184,OTHER
ERR1072985,0.7284,OTHER
ERR1072986,0.8881,OTHER
ERR1072992,0.7522,OTHER
ERR1072993,0.7673,OTHER
ERR1072998,0.7274,OTHER
ERR1073011,0.842,OTHER
ERR1073012,0.7679,OTHER
ERR1073013,0.8357,OTHER
ERR1073014,0.8174,OTHER
ERR1073015,0.6893,NORMAL
ERR1073026,0.8027,OTHER
ERR1073027,0.614,NORMAL
ERR1073029,0.7218,NORMAL
ERR1073030,0.8031,OTHER
ERR1073034,0.8539,OTHER
ERR1073039,0.7814,OTHER
ERR1073058,0.6188,NORMAL
ERR1073059,0.7602,OTHER
ERR1073062,0.6962,NORMAL
ERR1073066,0.6312,NORMAL
ERR1073068,0.7081,NORMAL
ERR1073074,0.734,OTHER
ERR1073086,0.8035,OTHER
ERR1073103,0.7819,OTHER
ERR1073117,0.7051,NORMAL
ERR1073119,0.7515,OTHER
