taxonomy,Thr_D,Trp_D,His_D,Pro_D,Met_D,Lys_D
Faecalibacterium prausnitzii,0,0,0.0623,0,0,0
Phocaeicola vulgatus,0.8911,0,0.8911,0.8911,0,0
Prevotella copri,0,0,0,0,0,0
Bacteroides uniformis,1,1,1,0,0,0
[Eubacterium] rectale,0,0,0,0,0,0
Phocaeicola dorei,1,0,1,1,0,0
Bacteroides acidifaciens/caecimuris/koreensis/kribbi/ovatus/xylanisolvens,1,0.9295,0.9295,0,0,0
Akkermansia muciniphila,1,1,0,1,0,0
Bacteroides stercoris,0.6667,0.6667,0.6667,0,0,0
Blautia wexlerae,0,0,0,0,0,0
Parabacteroides distasonis,0.9173,0,0.9173,0.0823,0.0827,0
Alistipes putredinis,1,0.0092,1,0,0,0.9908
Bacteroides caccae,1,0,0,1,0,0
Bifidobacterium adolescentis/breve/faecale/longum,0,0,0,0,0.7376,0
Bacteroides faecichinchillae/faecis/thetaiotaomicron,1,0.6364,0.6364,0.0909,0,0
Roseburia faecis,0,0,0,0,0,0
Parabacteroides merdae,1,0,1,0,0,0
Gemmiger formicilis,0,0,0,0,0,0
Phocaeicola massiliensis,1,0,1,1,0,0
Anaerostipes hadrus,0,0,0,0,0,0
Lachnospira eligens,0,0,0,0,0,0
Dialister invisus,0,0,0,0,0,0
Fusicatenibacter saccharivorans,0,0,0,0,0,0
Ruminococcus bromii,0,0,0,0,1,0
Oscillibacter valericigenes/Flintibacter butyricus/Oscillibacter ruminantium,0,0,1,0,1,0
Alistipes onderdonkii,1,1,1,0,0,0
Coprococcus eutactus,0,0,0,0,0,0
Ruminococcus champanellensis,0,0,0,0,0,0
Bacteroides cellulosilyticus/timonensis,1,1,1,0,0,0
Bacteroides fragilis,0.875,0,0.875,0.875,0,0
Blautia faecis,0,0,0,0,0,0
Roseburia inulinivorans,0,0,0,0,0,0
Barnesiella intestinihominis,1,0,0,0,0,0
Phascolarctobacterium faecium,0,0,0,0,0,0
Faecalibacillus faecis/intestinalis,0,0,0,0,0,0
Lactobacillus rogosae,0,0,0,0,0,0
Roseburia intestinalis,0,0,0,0,0,0
Blautia luti,0,0,0,0,0,0
Anaerobutyricum hallii,0,0,0,0,0,0
Dorea longicatena,1,0,0,0,0,0
Phocaeicola plebeius,1,0,0,0,0,0
Paraprevotella clara,0,0,0,0,0,0
[Eubacterium] siraeum,0,0,0,0,0,0
Hungatella xylanolytica,0,0,0,0,0,0
Dialister propionicifaciens,0,0,0,0,0,0
Ruminococcoides bili,0,0,0,0,1,0
Eubacterium coprostanoligenes,0,0,0,0,0,0
Blautia obeum,0,0,0,0,0,0
Hungatella hathewayi/xylanolytica,0,0,0,0,0,0
Parasutterella excrementihominis,0,0,0,0,0,0
Muribaculum intestinale,0,0,0,0,0,0
Romboutsia timonensis,0,0,0,0,0,0
Phocaeicola coprocola,0,0,0,0,0,0
Bacteroides eggerthii,1,1,1,0,0,0
Eubacterium ruminantium,0,0,0,0,0,0
Haemophilus parainfluenzae,0,0,0,0.2,0,0
Anaerostipes caccae/Frisingicoccus caecimuris/Parasporobacterium paucivorans/Eisenbergiella massiliensis/[Clostridium] polysaccharolyticum/[Ruminococcus] gnavus/Anaerobium acetethylicum/Enterocloster lavalensis/Coprococcus eutactus/Lactobacillus rogosae/Lachnospira multipara/Eubacterium ruminantium/Eubacterium ventriosum/Herbinix luporum/[Clostridium] fimetarium/Eisenbergiella tayi/Anaerostipes butyraticus/Lachnospira eligens/[Clostridium] populeti/Enterocloster asparagiformis/Lachnotalea glycerini/Anaerosporobacter mobilis/Eubacterium uniforme,0,0.0883,0,0,0,0
[Ruminococcus] torques,0.0008,0.0054,0,0,0,0
Prevotella buccae/Prevotella marshii/Prevotella shahii/Prevotella enoeca/Marseilla massiliensis/Prevotella timonensis/Prevotella stercorea/Prevotella paludivivens/Prevotella bryantii/Prevotella copri/Prevotella saccharolytica/Prevotella ihumii/Prevotellamassilia timonensis/Prevotella oralis/Prevotella oris/Metaprevotella massiliensis,1,1,1,0,0,0
Alistipes shahii,1,0.1112,0.1112,0,0,0
Mediterraneibacter faecis,0,0,0,0,0,0
Sporobacter termitidis,0,0,0.0002,0,0.9998,0
Bifidobacterium callitrichidarum/catenulatum/gallicum/pseudocatenulatum,0,0,0,0,0,0
Roseburia faecis/[Eubacterium] rectale/Acetivibrio ethanolgignens,0,0,0,0,0,0
Agathobaculum butyriciproducens/Butyricicoccus faecihominis,0,0.9982,0.0002,0,0,0
Lachnoanaerobaculum saburreum/Lachnoanaerobaculum orale/Sporobacter termitidis/Lachnoanaerobaculum umeaense/Acetivibrio straminisolvens/Acetivibrio cellulolyticus/Flintibacter butyricus,0,0,0,0,1,0
Streptococcus salivarius/thermophilus/vestibularis,0,0,0,0,0,0
Merdimonas faecis/Hungatella effluvii,0,0.9984,0.0016,0,0,0
Clostridium disporicum/saudiense,0,0,0,0,0,0
Ruminococcus callidus,0,0,0,0,1,0
Roseburia hominis,0,0,0,0,0,0
Holdemanella biformis,0,0,0,0,0,0
Coprococcus comes,1,0,0,0,0,0
Prevotellamassilia timonensis,1,0,0,0,0,0
Ruminiclostridium cellobioparum/Ruminiclostridium josui/Acetivibrio clariflavus/Ruminiclostridium cellulolyticum/Ruminiclostridium hungatei/[Clostridium] viride/Sporobacter termitidis/Ruminiclostridium sufflavum/Flintibacter butyricus,0.3333,0,0.3333,0,0.3333,0
Lachnospira pectinoschiza/Cuneatibacter caecimuris,0,0,0,0,0,0
Lacrimispora xylanolytica/Faecalimonas umbilicata/Lacrimispora sphenoides/Lacrimispora algidixylanolytica/Lacrimispora celerecrescens,1,0.8333,0,0,0,0
Pseudescherichia vulneris/Shigella sonnei/Escherichia marmotae/Shigella flexneri/Shigella boydii/Escherichia coli/Pectobacterium carotovorum/Escherichia fergusonii/Shigella dysenteriae,1,0.9525,0.0475,1,0.0951,0.9525
Lawsonibacter asaccharolyticus/Ruminiclostridium josui/Ruminiclostridium cellulolyticum/Sporobacter termitidis/Acetivibrio straminisolvens/Acetivibrio cellulolyticus/Flintibacter butyricus/Colidextribacter massiliensis,0,0,0.5,0,0.5,0
Alistipes finegoldii,1,1,1,0,0,0
Prevotella stercorea,1,0,1,0,0,0
Bilophila wadsworthia,0,0,0,1,0,0
Lachnospira pectinoschiza,0,0,0,0,0,0
[Ruminococcus] gnavus,0,1,0,0,0,0
Sutterella wadsworthensis,0,0,0,0,0,0
Parasporobacterium paucivorans,0,0,0,0,0,0
Sutterella massiliensis/stercoricanis,0,0,0,0,0,0
Veillonella dispar/infantium,0,0,0,0,0,0
[Ruminococcus] lactaris,0.0015,0,0,0,0,0
Bacteroides finegoldii,1,0,0,0,0,0
Bacteroides fluxus/rodentium/uniformis,1,1,1,0,0,0
Intestinibacter bartlettii,0,0,0.9998,0,1,0
Lachnoclostridium pacaense/Fusicatenibacter saccharivorans/Lacrimispora indolis/Faecalimonas umbilicata/Kineothrix alysoides,0.4117,0.3529,0.4119,0,0,0
Catenibacterium mitsuokai,0,0,0,0,0,0
Bacteroides intestinalis,1,1,1,1,0,0
Collinsella aerofaciens,0,0,0,0,0.3333,0
Dysosmobacter welbionis,0,0,0.9997,0,0.9997,0.0001
Dorea formicigenerans,0,0,0,0,0.4,0
Finegoldia magna,0,0,0,0,0,0
Raoultella planticola/Citrobacter koseri,1,1,0.75,1,0.75,0.75
Mediterraneibacter glycyrrhizinilyticus/Falcatimonas natans/Enterocloster clostridioformis/Enterocloster bolteae/Lachnoclostridium pacaense/Fusicatenibacter saccharivorans/[Clostridium] methoxybenzovorans/Lacrimispora indolis/[Ruminococcus] lactaris/Enterocloster citroniae/Murimonas intestini/Lacrimispora amygdalina/Blautia argi/Muricomes intestini/Faecalicatena orotica,0.1333,0.1333,0.1333,0,0,0
Butyrivibrio crossotus,0,0,0,0,0,0
Lachnoclostridium pacaense/Lacrimispora indolis/Merdimonas faecis/Lacrimispora amygdalina/[Clostridium] methoxybenzovorans,0.3329,0.3329,0.3338,0,0,0
Lachnoclostridium pacaense/Fusicatenibacter saccharivorans/Lacrimispora indolis/[Clostridium] hylemonae/Kineothrix alysoides,0.4,0.3,0.2,0,0,0
Rothia mucilaginosa,0,0,0,1,0,0
Oribacterium sinus/Enterocloster clostridioformis/Lachnoclostridium pacaense/Enterocloster bolteae/Lacrimispora indolis/Enterocloster citroniae/Lacrimispora amygdalina/[Clostridium] methoxybenzovorans/Lacrimispora sphenoides/Enterocloster aldenensis/Lacrimispora celerecrescens,0,0,0,0,0,0
Phocaeicola coprophilus,1,0,0,0,0,0
Prevotella corporis,1,0,1,0,0,0
Bacteroides salyersiae,1,1,1,0,0,0
Fusicatenibacter saccharivorans/Faecalicatena orotica/Lachnobacterium bovis,0,0,0,0,0,0
Ruminococcus champanellensis/Ruminococcus callidus/Solibaculum mannosilyticum,0,0,0,0,0.0004,0
Alistipes communis,1,0,0,0,0,0
Eubacterium ventriosum,0,0,0,0,0,0
Butyribacter intestini,0.0008,0.0002,0.0001,0,0,0.0002
Blautia faecicola,0,0,0,0,0,0
Flavonifractor plautii,0,0.2497,0.0014,0,0,0.9986
Acutalibacter muris/Caproicibacterium amylolyticum/[Clostridium] leptum,0,0,0,0,1,0
Subdoligranulum variabile,0,0,0,0,0,0
Streptococcus australis/parasanguinis/rubneri,0,0,1,0,0,0
Clostridium celatum/chauvoei/disporicum/quinii/sartagoforme/saudiense/septicum/tertium,0,0.1668,0,0,0,0
Megasphaera elsdenii,0,0,0,0,0,0
Flintibacter butyricus,0.0007,0.0433,0.6936,0,0,0.3028
Neglectibacter timonensis/Acutalibacter muris,0.6667,0,0,0,0,0
Coprococcus catus,0,0,0,0,0,0
Odoribacter splanchnicus,1,1,1,0,0,1
Anaerotaenia torta/Variimorphobacter saccharofermentans/Acetivibrio ethanolgignens,0,0,0.0625,0,0,0
Ruthenibacterium lactatiformans,0.3333,0,0,0,0,0
Ruminococcus callidus/champanellensis,0,0,0,0,0.331,0
